CUSTOMER COMMENT,Reason
Kotak is without a doubt the worst platform in Indian capital markets. On weekends portfolio value often shows as 0. On weekdays portfolio does not reflect latest positions. Support is toothless. Also app is glitchy.,APPLICATION (WEB/APP)
To help for improvement of limit,Others
Being a very old customer I very rarely try to take up help but in case of any compulsion of query or Complaint taken up with your dealer or executives leaves a very unsatisfying experience. No direct calling facility to the dealer is provided leaving there by meaning less purpose of allocating a dealer. Improve it please otherwise it would be difficult to retain a good customer domain. Rgds,Service
"No, thanks.",Not Specified
Question raised was not responded with clarity.,Service
Apply low brokerage plan,CHARGES(BRO./DP/LPC ETC.)
"Portfolio section of stock trader app is defective, while trading as we go down and open any script we again reach at the top after every time we exit. We have to scroll again to reach at the same place where we exited from . This defect was not there when stock trader was renewed, but stated when some updation was done.Make an improvement in it and help in smooth trading.",APPLICATION (WEB/APP)
Objective Response is expected atleast now for the issue raised,Service
Better to improve charts and Stop lose in options,APPLICATION (WEB/APP)
Bhai kuch dhang ka banalo.,Not Specified
"First of all,u must make to sit some qualified pplthere.Nobody picks the phone.This is my 5/6th complaint in this regard, but nobody cares.",Service
Try to  improve your services,Service
No gtt order or stop loss in kotak neo.,APPLICATION (WEB/APP)
Aap accuracy and price actions issues are impact on the trader decision.,APPLICATION (WEB/APP)
Worst experience ever,Others
"Plz provide (CO )ORDER TO OPTIONS AND BO orders and charts trading , charts loading on phone app warest",APPLICATION (WEB/APP)
No comment,Not Specified
My query was resolved after one week. Is it fair ? Very poor service,Service
OK,Not Specified
"Not good, bcz not resolved my issue",Service
Not at all,Not Specified
Need improvement in all things,Others
Abe sale log itna down time kon deta hai bhai? Upar se loosss ho rhaa hai system nai chal ne ki waje se kon bharega? Anand mahindra?,APPLICATION (WEB/APP)
Call received the next day ...Was unable to do any trade for almost 3-4 hours due to server issues... No Message / information / alert was given to user... Extremely bad experience for an online platform ...No redundancy management //No alternate or disaster recovery mechanism for such large customer base,Service
Kindly arrange for apologies in case matter is reported and give appropriate redressal of the grievance in question  or one day the client will decide to leave your esteemed company,APPLICATION (WEB/APP)
"I trade mostly intraday or short term, so please consider this.",APPLICATION (WEB/APP)
After doing so many mails till time either I am able to transfer the money from my account to your account and neither RM/Dealer call / provided to me,Service
"I appreciate your services, staff behavior, alertness, punctuality and your generosity. Everything is very very GOOD,except   Your app hang some time especially when the market is on peak,this is long pending issue.please look into the matter it is serious issue and I made loss also instead of book profit.",Service
Should have dedicated delar,Service
Not clarify all things.                 .,Not Specified
Neo app useless,APPLICATION (WEB/APP)
Kindly provide resolution to the issue raised on call,Service
BE MORE ACCURATE AND TRANSPERENT.,Service
Very bad service provided,Service
"I have requested the Manager Mr. RAVI GOLCHA to provide the Interest Calculation and he is making all lame excuses and not putting any effort at all. Finally, I have decided to file a complaint with SEBI.",Service
You trading website and app were not working on 29th Nov and my MIS order was not executed by you and I had to bear auction charges due to your failure.,APPLICATION (WEB/APP)
"RM should give direct numbers and should be easily approachable.,",Service
V v ineffecient staff.,Service
Need to improve App and if any Glitches there should be back up plan with Dealer / Executive. which is lacking .,APPLICATION (WEB/APP)
Recommendations received by text messages are very late.Help desk is completely useless.,Service
Portfolio section of stock trader app is defective.Every time an exit is made in a script from top to bottom you reach at the top.Scrolling is to be repeated after every exit to reach the place where exit was done.This is not there in watchlist section.,APPLICATION (WEB/APP)
Very very bed services provide by kotak security,Service
Call back arange,Service
No response,Service
Not at all satisfied.Dealer in Noida sector 18 has misled in refer and earn commission scheme while opening dmat account.,Service
"They need to listen and if customer requested something they should help on that. Recently rehya called me for recommendation and i requested to share details in mail, but they never mailed me",Service
"Train your customer service team, how to handle quary",Service
I told my concern 3 times but always call was disconnected before he replies to my queries,Service
I am in tamilnadu.customer service in our regional language is require or one regional manager well known Tamil language people was required.,Service
No,Not Specified
दिल में मेरे अकाउंट के साथ छेड़खानी की और कई बार मैंने डीलर को कॉल बैक की रिक्वेस्ट भी डाले पर उस उनके द्वारा कोई कॉल बैक नहीं किया क्या,Not Specified
Please improve app more friendlyAnd also improve desktop versionFor exampleAdd trading view software like zerodha,APPLICATION (WEB/APP)
Please update Kotak team,Service
Require reduce charges.,CHARGES(BRO./DP/LPC ETC.)
very bad xpiriunos ledger is not easy very confusing its very difficult,APPLICATION (WEB/APP)
"When any issue, the problem must be solved by any senior personFor all issues talk to call centre and they reply that ok we will forward and after thatNo reply and tensed client again call to call centre and now another person pick and same reply but problem unresolved.Sorry from my side if any body feel unhappy.",Service
i face lot of problem . comapny techinal error i have to face penalty in nse exchange.,APPLICATION (WEB/APP)
A,Not Specified
Sir aapke app 1dec ko achhe se nhi chal rha tha net position zero hone k bad mere account se 600 qty sjvn k sell hue show ho rhe h ye aapki glti se hua h app hi kam na kre call and trade ka call na recieved krenge to trade ko square off kaise hoga jo 1dec ko glti se mere share short hue h vo aapki glti h so aap mere peanalty aur auction ye sab se bacahye,APPLICATION (WEB/APP)
"Please improve in all aspects. Poor service, poor platform, very difficult to connect official, high brokerage",APPLICATION (WEB/APP)
Not smoothly working trading application. Shown error message retry again and again,APPLICATION (WEB/APP)
"Kindly introduce net pnl details with clarity on how much other consolidated cost has been charged in terms of stt, gst & other charges individual cost bifurcation",APPLICATION (WEB/APP)
for early resolution for swadein industries share buy quantity 78000 @ 4.04 paisa but showing 7800 @ 40.04 in portfolio. pl rectify,Process
The Trading PLatform Neo and calling all are useless - Kindly look into  it,APPLICATION (WEB/APP)
Need a solution  for my Query,Service
Not working server properly thats why customer face very problem in option tradings,APPLICATION (WEB/APP)
Improve fund transfer,Process
No support also received on live chat,Service
My order not excuteVery bad,APPLICATION (WEB/APP)
App function is not smoothly work,APPLICATION (WEB/APP)
not helpful ...for reducing brokerage...that is the reason I stopped trading  for the past 5months..in kottak securies..and the dealer/ customer care ..also very very poor response..for small qery also not helpful...and other hidden charges are too high comating with other brokarage...and account maintanance..is not not transperant,CHARGES(BRO./DP/LPC ETC.)
Bed application everytime closed no any trade,APPLICATION (WEB/APP)
Fuck you all,Not Specified
Solve app problems. Also improve customer care support.,APPLICATION (WEB/APP)
"No, suggestions, need to close account from Kotak security",Not Specified
Coustomer care not take any calls,Service
"Try to solve technical issue within hours or before market close ,so that client manage their position according mkt condition.",APPLICATION (WEB/APP)
At urgency no one receiving call,Service
Please improve sever customer service,Service
service person is non knowledgeble anas khan he in not proper service person he is hold my call around 40 minut,People
Improve your kotak new app and your service,APPLICATION (WEB/APP)
Really pathetic experience and high time to improve trading experience in NEO. NEO to be blocked and help people to achieve accuracy in tradingNeo is looting money and nothing good about it,APPLICATION (WEB/APP)
Deley in pick up costumer care no. On calling,Service
NEO looting customers and value addition. I have lost 75k in 2 days non operational days of NEONEO to be blocked and restricted from trading Platform. It cannot perform basic trading...NEO is useless and helpless system 😂😂😂,APPLICATION (WEB/APP)
"If you continue like this with your so called Neo app with fast trades( where trades are not taking place for full day) , you will find yourselves out of business. I stopped trading on kotak now.",APPLICATION (WEB/APP)
The agent was not able to clarify my issue and was infact more confusing to talk with.,Service
Worst app. Most of the time technical glitches. Loosing money due to poor app performance. Not executing the orders due to technical glitches.,APPLICATION (WEB/APP)
Delay in info update,APPLICATION (WEB/APP)
Kindly improve yr software why I cant place order even stock in demat tragedy I m holding 6100 ovobel foods mkt lot 100 yr softy allow me to place order only 61 means some thing is wrong you stuck my liquidity value of rs.10 lakh also you luaess business I m try to find out another broker who can allows me to smooth trade,APPLICATION (WEB/APP)
"Very bad , I will quit soon and switch to better trading apps like Grow",APPLICATION (WEB/APP)
Worst app ever,APPLICATION (WEB/APP)
Neo kotak app service is very poor and hang full day.Please take nacessary action .,APPLICATION (WEB/APP)
Too many issues regarding your infrastructure in handling the orders... Yor are the worst broker on the planet,APPLICATION (WEB/APP)
Try to improve software other dont provide to customers,APPLICATION (WEB/APP)
Yeah provide all the plans and charges atleast once in month,CHARGES(BRO./DP/LPC ETC.)
I have joined your network in year 2010 and left due to high brokerage but that time your trading terminal was amazing. Recently I have joined/activated my old account but this time my experience about your so called new generation App and web based trading platform is pathetic. Further your customer care service is also adding bad experience. I have tried so many times to call yr CC service but in vain. After waiting for 8 -10 minutes i have ended my call. Hopping you guys will improve in future. With best wishes,CHARGES(BRO./DP/LPC ETC.)
Please provide lokal authority person for Neo application platform.,APPLICATION (WEB/APP)
Very bad experience Due to high brokerage charges Kindly do needful And support,CHARGES(BRO./DP/LPC ETC.)
thanks to you clarence my query,Not Specified
Please get kotak neo apparatus immediately corrected. Several times in the day does not work.,APPLICATION (WEB/APP)
Faced a huge loss of hard earned money .... And customer care is ignorant as hell. Sent 2 mails but havent got any reply. Got scheduled on 2 calls but no solution was provided. Why should i face a loss because of your mistake ?,Service
Technical issue very important problem And Call Centre not good response.,APPLICATION (WEB/APP)
Very bad,Not Specified
Pathetic experience with Kotak Neo,APPLICATION (WEB/APP)
"Request to guide customer for any time bound emergency, on priority.",Service
If I call for urgent no one can pick the call very worst. I cannot tell more please try to understand,Service
Please do not tell lies and only give one answer your request in process wait for some time.,Process
Kotak has to win back the customers.Your recent outages has shaken me to the core and is always worried that kotak can breakdown anytime and i will incur huge loss. I am planning to have another backup broker to better manage my risk. I cannot depend Kotak alone atleast for some time  to see how you will perform.,Service
Absolutely useless service. Extremely unhappy. Probably I am seriously considering to shift. Professor Prabhakararao. Vice chancellor. Rtd,Service
No,Not Specified
"When we open Neo Trade website, cursor should automatically come to user feed detail. currently it is not happening",APPLICATION (WEB/APP)
No,Not Specified
"1. Though glitches occur, Kotak’s is slow on rectifying the glitches2. Index (Bank nifty/nifty) not visible while placing order bcoz order window eclipses them.",APPLICATION (WEB/APP)
"no intercation happened. its impossible to talk to my RM, i dont even know his contact details",Service
Very poor service neo app very bed I have many lost my many,APPLICATION (WEB/APP)
It has been 10 days my query isnt solved.,Service
Nil,Not Specified
Close uour neo appGlitches faced day before yesterday for whole day calls for switching to old platformVery difficult to get assistance from kotak when required,APPLICATION (WEB/APP)
"I had requested to meet with Nest Trade Terminal & Kotak Neo software development team. And also with KeatProX and Kotak Stock Trader development team. I wanted to provide feedback in-person and not through email.But, It has been 4 days and I have not received any reply from escalation team in this matter.Waiting for the appointment.",APPLICATION (WEB/APP)
The customer care executive should know more clarity about the capital market as i understand after interacting that theyre not Fully expertise in resolving certain queries,Service
Even while opening of account they lied about many things just to get there targets done.,Service
Very bad platform....have shifted 98 capital from kotak,APPLICATION (WEB/APP)
Service is satisfactory.,Service
Very bad,Not Specified
Change  manager for T.nagar chennai ... very poor response... dont respect customers,Service
Improve,Not Specified
Charges  high,CHARGES(BRO./DP/LPC ETC.)
You dont pick up the call. Increase the staff and atleast attend the call when people are in problems. Else what is the use of customer executive. That was really pathetic experience. Big business has lost a lot. Atleast you pick up the call or stop the server and reject the order from that certain time so we dont face losses and we feel lost as you dont pick up @ call centre....Increase support staff attend calls....and c that server doesnt give problems,People
Whenever required call not connected,Service
very poor service,Service
Minimum brokarage charges should be down     dp outgoing charges should be less    interest charges should be less  it is charged more than other brokar houses should be care about that  thank you,CHARGES(BRO./DP/LPC ETC.)
We wish our comments to be taken seriously,Others
Communication with anyone in Kotak Securities is a pain during Market hrs.,Service
App has too many glitches  need to short it  out,APPLICATION (WEB/APP)
Call is not pickup. Information chupa liya jata hai. Bad expericence,Service
Technical glitches of your application due to which I had made losses.,APPLICATION (WEB/APP)
Poor service and breakdown server problem every day and during this time nobody pic call and even no response from your side..Very poor worst service,Service
Unprofessional staff,Service
Please call.,Not Specified
When I talk help desk some time they give me wrong information,Service
"Totally disappointed with Service staff. Worst word is not enough to describe customer service of Kotak Securities. Tried different time and days but result was same, no body bother to solve query. Customer feel guilty to raise query",Service
Not Satisfactory,Not Specified
improve trading plateform. give sme ipo and upi option to apply for ipo,APPLICATION (WEB/APP)
It’s very bad experience with Kotak. Their intention is to make money for them not to take care of customers,Service
Your people not reacting properly when asking for help. Every time requesting for converting the margine fund but they are not roperly responding not converting money to margine fund for write trading in write time as others . Why we will ask them to increase my margine . It should automatically showen for trading .,People
No of any query attended on time. In fact after so many mails no solution yet received . Simply making fools to customers,Service
Not good,Not Specified
18 call but didnt answer my query.I hv no if u r interested.,Service
Make Responce on call from our Registerd mobile No.Immediately,Others
Not even contacted,Not Specified
Required the Financial statements of the 21-22 year& whic is still not received after given so many requests but there is no response.,Service
No queries have been addressed appropriately so far since I have opened account with Kotak.,APPLICATION (WEB/APP)
"Since last 2 days my problem is not solved, they are not compatible i am really disappointed ,and I have to think about my account ,only my dealer Mr.jasmin and primal or pratik behind me they are helpless to support me due to your Technical team they were not respond there mail.",Service
Need to more aware about to product and service for customers.,Service
App must be open 24×7 promptly,APPLICATION (WEB/APP)
Ok,Not Specified
neo platform is pathetic and manager has no clue how to resolve it. who is responsible for the loss i incurred.relationship manager never pickup the phone and have no empathy to client issue,APPLICATION (WEB/APP)
Verygood,Not Specified
Pls pravide quality cc,Service
"please try to provide charting in Nest as available in Neo like no of open charts at a time , type of candles and indicators",APPLICATION (WEB/APP)
"Dear Sir, I am not doing trading nowadays but u are charged me Rs 181 and others so l like to close my and all others my friends account from u. Request to guide me to close account. Call me regarding this. Regards, DIPAK Solanki",Service
"please ignore my response to previous question. it appears that the relationship manager is not empowered to take a decision for resolution. she has promised to escalate my request to the manager. however, so far i do not seem to have received a response.",APPLICATION (WEB/APP)
MENTION STOP LOSS PROPERLY FOR NIFTY/BANKNIFTY. BECAUSE WE WILL NOT KNOW WHAT IS BUY STOP LOSS AND SELL STOP LOSS.,APPLICATION (WEB/APP)
Improve,Not Specified
"Please improve neo app, faced too much loss due to late execution",APPLICATION (WEB/APP)
Worst service i will not recommend to anyone,Service
Alert infn should be proivided for stock in port folio in case of deep correction down side.Thx,APPLICATION (WEB/APP)
Need clarity asap on reduction of delivery brokerage,CHARGES(BRO./DP/LPC ETC.)
Delayed responses then too no solution for the problem.,Service
Pathetic support,Service
I specifically mention about the glitch on1.12.22,APPLICATION (WEB/APP)
app platform  not functional real time price isaue in entire preopen market.  Old querry   repeat feedback no improvement .,APPLICATION (WEB/APP)
Kotak neo performance is unreliable.,APPLICATION (WEB/APP)
"The escalation team hasnt responded within promised time.And I am still waiting for the appointment with development team to provide feedback on KST app and KeatProX.Kindly, reply as soon as possible.",Service
Improve ur service and aim for customers satisfaction.,Service
Extremely poor crisis management,Others
Good sscyjg jfjfyjgjgbb ytfh,Not Specified
Call center bogus. No one is responsible people in kotak this division and due to that others wings of kotakco. effect. In india as per kotak credentials this division is so poor. I hope you will develop or close the division for others wings safety .,People
No interaction,Service
Pls improve customer care,Service
Poor service dealer or kotak security charges are very high.... trading time ma tecnical problem aa ti ha.....,Service
Language problem in solving.Kindly help us in local language in odia for me.,People
Even after effort they are not able to resolve the queries.,Service
Pl advise how to contact dealer.,Service
No call received,Service
Awful,Not Specified
"I am trying to raise my issue since last three months but neither any negative reply has been received nor issue is resolved ,looks like wastage of premium time . Unsatisfied",Service
Poor,Not Specified
No suggestion,Not Specified
No one answering calls,Service
Worst service,Service
Queries never gets resolved,Service
No proper handling by any dealer since inception,Service
Improve portfolio window!,APPLICATION (WEB/APP)
No more questions 😃???????????????,Others
Good,Not Specified
Need more recommendations and details about investments opportunities ..,Product
Kotak neo app does not offer any advantages and should be scrapped.it should not be advertised for opting.investors who have opted are all facing trouble,APPLICATION (WEB/APP)
Useless app from Useless network,APPLICATION (WEB/APP)
no issue,Not Specified
Client has not received NMDC spinn off benefit,APPLICATION (WEB/APP)
nc,Not Specified
All you people are smart enough to deal with your side …..what the client is facing on daily basis ….. yours employee have not proper knowledge and updation that must if any …. And they all have show in routine work taking it …. Not problem solving…. It’s culture that is also reflection of upper management what all are doing ….actually management wants or take like a routine …..,People
"Didnt received call back, App runs very slow, no auto refresh of rate ledger is complicated",APPLICATION (WEB/APP)
"Put people on job those who understand technicalities.Fire personnel for not responding to query, nearly a week gone.I have saved all mails with customer service replies.",Service
Kotak securities app performance very poor. And also i have been facing problem  to brokerage charges. Please reduce brokerage charges to me.   If kotak reduce brokerage charges i will trade many time.,APPLICATION (WEB/APP)
You PPL doesnt bother about customer service... Worst IT management ever.. too many technical issues.  Planning to change ksec with in next financial year,Service
Disgusting performance of App and employees.,APPLICATION (WEB/APP)
Kindly enable gtt orders in Kotak Neo..nc,APPLICATION (WEB/APP)
Dealer not calling daily basis and give any call..no query,Service
हमें अपने अकाउंट में लेनदेन समझ नहीं आता आपका कुछ पैसे बताता है कुछ आते हैं काफी दफा हम ग्वालियर जो व्यक्ति ने है अकाउंट खोला है उसको बता चुके हैं इसका कोई समाधान नहीं हो रहा,Not Specified
Bad experience for a 5 years old customer,Not Specified
no issue,Not Specified
In old platform bank balance was shown instantly which is not available in modified platform.,APPLICATION (WEB/APP)
nc,Not Specified
No one is there to help if any issue occurs,Service
"Very bad experience kotak neo, same order come for pleadge repeatedly",APPLICATION (WEB/APP)
Brokerage being charged regularly on my day trading deals .as per terms and conditions no brokerage should be charged.no body is listening.,CHARGES(BRO./DP/LPC ETC.)
Try to introduce multiple chart in nest or otherwise improve charting in Keat Pro,APPLICATION (WEB/APP)
neo discontinuty issue,APPLICATION (WEB/APP)
Not satisfied,Not Specified
VETY HIGH BROKERAGE CHARGESCHANGE MY PLAN TO LOWEST BROKERAGE FREEFOM 200,CHARGES(BRO./DP/LPC ETC.)
Improve customer interaction,Service
whenever try to contact rm every time her mobile not reachable. Please please please provide some other numbers.,Service
Ref comments,Others
Given an opportunity people will move out of your platform  so bad is your people behaviour. I will also. Their interest is only to earn money for them not to customer..nc,APPLICATION (WEB/APP)
"Plan change request was done 10 days ago, but not done till date after many reminders to RM.",Service
There should be console for profit and losses.  According to month,APPLICATION (WEB/APP)
Overall all ar not good,Not Specified
No communication..nc,Service
Square off position from Holdings without informing,APPLICATION (WEB/APP)
U should have a dedicated team of people to address customer issues,People
Yor App services is not well,APPLICATION (WEB/APP)
Ok,Not Specified
App problem,APPLICATION (WEB/APP)
BAJPAI KUMAR,Not Specified
Improve more,Not Specified
Biggest mistake that shift from zerodha to kotak from next month will switch back to some other broker,Others
"Very very bad experience on 1st december and many days, was not able to cancel my order and faced huge loss due to it. Zero brokerage is just an attraction but it  is all  gone is 2 hours due to unstable mobile and web app. What is the use.1. After placing an order watching the chart, the screen changes to order book, why , it can remain on the right side of the window in web platform. Not at all user friendly.",APPLICATION (WEB/APP)
"1. Please provide dow future facility because behavior of nifty depends on US market.2.In neo app how to bring different indices on the home page .3. Putting SL  of delivery stock is very difficult in neo app , make it simple like your mobile kotak securities app. 4. Make charts operation simple like Zerodha or Angel. Those are very good apps",APPLICATION (WEB/APP)
Proper answer on expert chat on whatsapp chat,Service
BAD,Not Specified
"I understand that technical glitches may come once in a while but I last week it has happened 3 times and before that I had the experience but that time was of few minutes,bht last week it was of 4 hours and moreover your customer care not responding,you can tell they were busy on other calls but in twitter none of the subscriber call has been responded.",APPLICATION (WEB/APP)
Site go stuck and i lost money i need refund,APPLICATION (WEB/APP)
In this app everyday network error in kotak neo and if the worry about the customer the calling is not applicable,APPLICATION (WEB/APP)
nc,Not Specified
nc,Not Specified
no query,Not Specified
Always facing issues after some daysAnd always facing running issue for appVery bed experience from kotak security�no issue,APPLICATION (WEB/APP)
Should improve app RM should be provided to each mamber,Service
Provide chart details in trade position,APPLICATION (WEB/APP)
Good.,Not Specified
Please improve your connectivity issues..connectivity issue,APPLICATION (WEB/APP)
nc,Not Specified
Har mahine 59 rupees kyo Kat raha h.jabki annual charge katna chahiye.paytm money bhi me chalata hu usme annual charge 354 rupees Kat ta he.,CHARGES(BRO./DP/LPC ETC.)
It impact me a lot in trading on 1st dec pls see and resolve this.And if possible pls contact me,APPLICATION (WEB/APP)
When I want to chat with customer care no response only busy,Service
Payout issue  everyone useless they cant solve my problem  they just give me promise promise Your call center is not supportive I placed withdrawl request on 1st dec at 8pm but i still not receive payout in my account I placed 15000 withdrawl request but I got only 16.77rs  what a joke playing with me kotak  so bad experience  I think kotak not need a clients  its too much..nc,Process
Improve your trading platform,APPLICATION (WEB/APP)
Nobody called to resolve the problem.,Service
There is no communication of my query.,Service
overall good,Not Specified
The price movement of the strike was not according to the nifty/banknifty on 5 Dec......,APPLICATION (WEB/APP)
I am Really Disguised by your Latarjic responses on system DowntimeAlso your technical Team should Be trained in a better way,APPLICATION (WEB/APP)
Improve your services. One of oldest brokers in India yet one of the worst. Technical issue are now the daily drama due to which our orders are not executed on time which results in not our favor . Customer care call connects in no less than 10 minutes. No wonder why people pick zerodha vs any of such pathetic brokers. Really disappointed.,Service
I Lose Most Of my Money Due to Technical Issue,APPLICATION (WEB/APP)
"Your app not working for today whole day,Last Thursday also faced same issue,No order placement nor any position square off..This app is totally Trash..Even local broker working good compare to your this kotat security No one pick up call from customer care,Not getting answer from mail.Not work your WhatsApp care,Total disappointed with this trash..in past was facing isue",APPLICATION (WEB/APP)
App not running properly I have lose due to this app...if you cant run then close it,APPLICATION (WEB/APP)
No,Not Specified
No.,Not Specified
Please make your app trading easy and fast.,APPLICATION (WEB/APP)
Calls unanswered,Service
Worst,Not Specified
Too many issues regarding your infrastructure in handling the orders... Yor are the worst broker on the planet,APPLICATION (WEB/APP)
Try to improve software other dont provide to customers,APPLICATION (WEB/APP)
Yeah provide all the plans and charges atleast once in month,CHARGES(BRO./DP/LPC ETC.)
I have joined your network in year 2010 and left due to high brokerage but that time your trading terminal was amazing. Recently I have joined/activated my old account but this time my experience about your so called new generation App and web based trading platform is pathetic. Further your customer care service is also adding bad experience. I have tried so many times to call yr CC service but in vain. After waiting for 8 -10 minutes i have ended my call. Hopping you guys will improve in future. With best wishes...platform lagging,CHARGES(BRO./DP/LPC ETC.)
Please provide lokal authority person for Neo application platform.,APPLICATION (WEB/APP)
Very bad experience Due to high brokerage charges Kindly do needful And support,CHARGES(BRO./DP/LPC ETC.)
thanks to you clarence my query,Not Specified
Please get kotak neo apparatus immediately corrected. Several times in the day does not work.,APPLICATION (WEB/APP)
Faced a huge loss of hard earned money .... And customer care is ignorant as hell. Sent 2 mails but havent got any reply. Got scheduled on 2 calls but no solution was provided. Why should i face a loss because of your mistake ?,Service
Not committed,Not Specified
"Kotak neo is very stuck and hanging mobile and web.. my order for Intraday was unfortunately not exited but you have given delivery with Rs.2 prr unit brokerage, which ia unfair",APPLICATION (WEB/APP)
"Could not complete my trade on time in Thursday (Sometime) friday and Monday session and also did not get any support from Indore branch and customer care, in both session I lost aprrox 15-20k",APPLICATION (WEB/APP)
Improve application,APPLICATION (WEB/APP)
Chutiya apps hr,APPLICATION (WEB/APP)
nc,Not Specified
Good,Not Specified
I dont like this service,Service
"Take responsibility of your system failure. Due to worst system traders faces losses also mental harassment by kotak security, you only send apologize email regarding this. Close my account as soon as possible.",APPLICATION (WEB/APP)
Very bad customer service specially in market hours & app gets frizen very often the orders dont get fille d moving to zerotha. 300 wasted,Service
Even my email to the CEO is lying unattended. It is as if no one is bothered. CS promises to call back with a solution but never do.,Service
Aapki customer care services achhi nai hai.,Service
My issue was not resolved by the office via mail service.. no problem with your customer care executives.,Service
"Few days back , the orders were stuck due to technical glitch, so its need improvement and during that time no one gave any information regarding that.",APPLICATION (WEB/APP)
"Your customer service is worst i have faced ever, no one is here for customer care, it is same as no customer care, your bad beyond words, i wasting my time even writing this feedback, i know nothing going to happen",Service
switch off,Others
no issue,Not Specified
Other than this i have no suggestions Thanks for your support,Not Specified
Improve,Not Specified
"App and server connection issues and customer support very bad , Im planning to switch the broker , no support no personal contact no of kotak person also support no never get connected emai replay very slow.DS",APPLICATION (WEB/APP)
Dp charges regarding,CHARGES(BRO./DP/LPC ETC.)
Option price is inaccuracy. Trader migh have chance of loosing Money,APPLICATION (WEB/APP)
Very bad experience. App is worst among category.,APPLICATION (WEB/APP)
Please check servers of app. Dont shut Down in Market timings. While coustomers doing there trades.,APPLICATION (WEB/APP)
I,Not Specified
Your Call Trade department behave Rudely .,APPLICATION (WEB/APP)
Better dealer availability & authorization to them to solve customer queries Daily transfer of funds from bank account to securities including M to M P&L everyday as it happens with HDFC Securities,Service
Very poor all services to trading platform bad kotak Neo daily bug issue,APPLICATION (WEB/APP)
Very soon I will move from Kotak Securities and shift my money to some other broker’s.the only reason I am here because I do hedge and this platform allow me to buy otm.If zerodha all me to buy otm very next day I will move to zerodha…,Service
fund payout system is very poor i have submitted serval time for fund payout but not credited in my account and representative said cancel and re initiate the transfer,Process
I am not going to trade intraday on this platform ever in my life.,APPLICATION (WEB/APP)
Its not personalized at all. I feel they call only to trap,Service
Instead of line chart give directly candle chart,APPLICATION (WEB/APP)
Work on your trading platform. Was not able to book profit and it turned into loss 4400,APPLICATION (WEB/APP)
Sahi Information nahi dete,Service
Dear Sir Need to help in low brokerage,CHARGES(BRO./DP/LPC ETC.)
No knowledge about the issues. No willingness to resolve the queries,People
Not able to book profit in trades due to technical glitch. And Technical glitch is usual for Kotak now. 20k profits wiped out due to this.,APPLICATION (WEB/APP)
"I made profit in intraday trading, but you disappeared my profit, worst brokerage, even I Had bought Free trade youth plan",APPLICATION (WEB/APP)
इस को आप बन्द कर दे किसी को कोई प्रॉब्लम नही होगी,Not Specified
This needs coordination between KS and the Korak bank. Bank is stoic with a continued silence and KS has not understood the problem. So its going on. I have learnt to live with it.,Process
Long long long waiting not at all satisfied,Others
Very bad service and app i lost 10 lack,Service
Please improve your customer care service and Kotak Neo Speed and technical glitches,APPLICATION (WEB/APP)
Please improve like zerodha,APPLICATION (WEB/APP)
Big Zero,Not Specified
Please learn from others brokerage firms how to take care of clientsI would like to switch off to motilal oswal if you not improve your service.,CHARGES(BRO./DP/LPC ETC.)
The Features which we have asked are not provided.. nearly one month is completed still we dont get the  update of app.,APPLICATION (WEB/APP)
Experts in Chats are really not even aware about basics of corporate actions.Its been really difficult getting queries addressed. MFT Charges are way too high.,APPLICATION (WEB/APP)
Weak customer service. High cost,Service
Losses occurs due to glitches but no one there to listen even helpline no make us in que 20min or more no one is available .value the time of customers,APPLICATION (WEB/APP)
Train people on technical solutions.,People
Worst experience till date for a query resolution purpose.... idiotic and unethical response from the resolution team... want to delete the apps relatd to kotak and will suggest not to use further to anyone and the guys reading this plzzz make it publicly available to knw more abt kotak idiotic resolution team,Service
Dont forse to use additional margin treding. So many call in a day.,Service
Margin is the killer. If someone takes margin he will never make profit,CHARGES(BRO./DP/LPC ETC.)
Mera 20k loss hai 2nd December ka abhi tak nahi aya bill bhi nahi aya hai,APPLICATION (WEB/APP)
No one has interacted or called back as requested,Service
No..Everything is alright.,Not Specified
Planning to switch my account bcz of poor service then how will I recommend others,Service
The Person in absence of my RM was not updated with research related information/s.,Service
All. Kotak staff. Bad. Service..Last Qulitty service. Last 05. Months My request is not solutions,Service
"Kotak Neo not working properly. Secondly me not able to sell investmentThirdly it shows minus trade shares like utique enterprises, libord finance...why?? When I have sufficient shares also on plus side. Check n revert. This query was not resolved.Also some shares numbers r seen and not names",APPLICATION (WEB/APP)
I lost some money as there was glitches in the order system.,APPLICATION (WEB/APP)
"I am satisfied with the interaction yesterday with Mr Ganesh who called. But none of our accounts are mapped to him. We trust you will take note of the details from him from our interaction. He was not able to resolve the situation.If you seriously care for us as account holders of KSL, please reach-out for a one-to-one comprehensive interaction for our inputs for your knowing & working. Else, we are wasting time & all resources of each other. Regards.",Service
I have the account with kotak past many years bt the service rendered to me till date has been very bad. Theres no dedicated RM gvn to me for my personal account and  neither securities . The dedicated person keeps on changing all the time and I have to keep calling 100 times for people to assist me. Very poor service indeed.,Service
"I have sent e.mail for getting Client Master List many times to the relationship Manager (Himani, Bhavna Gupta, Vikram and call, and Saranpreet Kaur) but CML was received after 2 days while it was urgent.",Service
"I have already sent email to escalation team and waiting for reply. Already 8 days gone, still no revert.I hope, this feedback would reach till the respective team and I would get an revert.",Service
